,Item,Description,Blank 1,Blank 2,Blank 3,Blank 4,Blank 5
0,1 Capital:,Vốn:,12399584753715.0,553010000000.0,1147221000000.0,6040513000000.0,6389333500000.0
1,1.1 Regulatory capital,Vốn tự có,12399584753715.0,0.0,0.0,5540313000000.0,5540313000000.0
2,1.2 Other capital instruments,Các công cụ vốn khác,0.0,553010000000.0,1147221000000.0,500200000000.0,849020500000.0
3,2 Retail deposits and deposits from small business customers:,Tiền gửi của khách hàng bán lẻ và khách hàng kinh doanh nhỏ:,4768954315543.0,93327754673465.02,0.0,0.0,88724965725650.5
4,2.1 Stable deposits,Tiền gửi ổn định,1512321289265.768,8483677391701.231,0.0,0.0,9494361515295.168
5,2.2 Less stable deposits,Tiền gửi kém ổn định,3256633026277.2324,84844077281763.78,0.0,0.0,79230604210355.33
6,3 Wholesale funding:,Vốn bán buôn:,3383088260107.0,31072706505255.984,8165842901.0,1369008080790.0,9166373769776.5
7,3.1 Operational deposits,Tiền gửi hoạt động,0.0,358145951357.0,0.0,0.0,179072975678.5
8,3.2 Other wholesale funding,"Nguồn vốn huy động từ bán buôn khác 3,383,088,260,107",3383088260107.0,30714560553898.984,8165842901.0,1369008080790.0,8987300794098.0
9,4 Liabilities with matching interdependent assets,Các khoản nợ phải trả phụ thuộc vào tài sản,0.0,0.0,0.0,0.0,0.0
10,5 Other liabilities:,Các khoản nợ phải trả khác,0.0,4388588621609.67,,,729745357301.0
11,5.1 NSFR derivative liabilities,Nợ phái sinh NSFR,0.0,97001800000.0,0.0,0.0,0.0
12,5.2 All other liabilities and equity not included in the above categories,Tất cả các khoản nợ và vốn chủ sở hữu khác không bao gồm trong các loại trên,0.0,3316622524586.67,490437879444.0,484526417579.0,729745357301.0
13,6 Total ASF,Tổng giá trị ASF,,,,,105010418352728.0
14,Required stable funding (RSF) item,,,,,,
15,1 Total NSFR high-quality liquid assets (HQLA) including encumbered and unencumbered,"Tổng tài sản thanh khoản có chất lượng cao (HQLA), bao gồm ràng buộc và không ràng buộc, thuộc NSFR",0.0,0.0,0.0,0.0,8734288276275.549
16,2 Deposits held at other financial institutions for operational purposes,Tiền gửi tại các tổ chức tài chính khác cho mục đích hoạt động,0.0,0.0,0.0,0.0,0.0
17,3 Performing loans and securities:,Các khoản cho vay và chứng khoán không phải nợ xấu (performing):,10706860168689.0,77141410697595.0,1718336956679.0,57955069594872.0,43853512916766.99
18,3.1 Performing loans to financial institutions secured by Level 1 HQLA,Các khoản cho vay không phải nợ xấu (performing loans) đối với các TCTC được bảo đảm bằng tài sản HQLA cấp 1,0.0,3412504000000.0,0.0,200000000000.0,0.0
