Account ID with FI,Product Type,Operational,Purpose of Deposit,Currency,Deposit balance,Start Date,Maturity Date,Interest Receivable,Next Interest Payment Due Date,Accrued Interest
285900001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ,"8,913,718",4/22/2010,,,,
315900020,Tiền gửi KKH,,Phục vụ thanh khoản, VND ,"2,509,354,911,303",6/23/2014,,,,
335400003,Tiền gửi KKH,,Phục vụ thanh khoản, VND ,"2,255,151",5/9/2013,,,,
390300004,Tiền gửi KKH,,Phục vụ thanh khoản, USD ,"63,627,971,124",4/22/2010,,,,
369200004,Tiền gửi KKH,,Phục vụ thanh khoản, AUD ,"7,560,936,466",7/5/2018,,,,
662800044,Tiền gửi KKH,,Phục vụ thanh khoản, AUD ,"24,130,355",12/19/2011,,,,
807900007,Tiền gửi KKH,,Phục vụ thanh khoản, CAD ,"4,080,058",7/7/2016,,,,
31736100001,Tiền gửi KKH,,Phục vụ thanh khoản, CAD ,"595,593,893",10/6/2016,,,,
000APU1222656518,Tiền gửi CKH,,Khác, VND ,"200,000,000,000",9/22/2022,11/22/2022,"1,871,780,822",11/22/2022,276164384
000APU1222656520,Tiền gửi CKH,,Khác, VND ,"250,000,000,000",9/22/2022,11/22/2022,"2,339,726,027",11/22/2022,345205479
000APU1222656521,Tiền gửi CKH,,Khác, VND ,"300,000,000,000",9/22/2022,11/22/2022,"2,807,671,233",11/22/2022,414246575
52693200001,Tiền gửi KKH,,Phục vụ thanh khoản, KRW ,"15,738,532",4/16/2019,,,,
73821500005,Tiền gửi KKH,,Phục vụ thanh khoản, KRW ,"144,248,620",7/14/2022,,,,
807900006,Tiền gửi KKH,,Phục vụ thanh khoản, HKD ,"181,860,163",12/25/2015,,,,
662800042,Tiền gửi KKH,,Phục vụ thanh khoản, EUR ,"2,103,663",12/19/2011,,,,
23161600002,Tiền gửi KKH,,Phục vụ thanh khoản, EUR ,"15,006,721",3/19/2015,,,,
390300011,Tiền gửi KKH,,Phục vụ thanh khoản, SGD ,"40,997,396",6/1/2011,,,,
20365000001,Tiền gửi KKH,,Phục vụ thanh khoản, SGD ,"858,723,769",9/4/2014,,,,
