Facility ID,Customer ID,Customer Type,Product Type,Currency,Amount,Credit Limit,Drawn Credit Line, Undrawn Credit Line ,Start Date,Maturity Date
1002105841,2202,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ,"120,000,000",,"120,000,000",6/3/2021,6/30/2024
9022203901,2219,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ,"150,000,000",,"150,000,000",6/24/2022,6/30/2027
9071900191,2343,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ,"50,000,000",,"50,000,000",1/18/2019,1/31/2025
9032101021,2895,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ,"100,000,000",,"100,000,000",2/24/2021,2/24/2024
9022007771,3204,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ,"50,000,000",,"50,000,000",11/19/2020,11/30/2023
8051400061,3217,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ,"33,000,000",,"33,000,000",8/27/2014,12/31/2024
8011401082,201495,Khách hàng doanh nghiệp,Hạn mức tín dụng,VND,"4,800,000,000","4,800,000,000","4,800,000,000", -   ,8/28/2018,3/11/2025
6011703162,239942,Khách hàng doanh nghiệp,Hạn mức tín dụng,VND,"36,122,000,000","57,000,000,000","36,122,000,000","20,878,000,000",12/29/2018,6/13/2023
6062200831,270714,Khách hàng doanh nghiệp,Hạn mức tín dụng,VND,"27,112,800,000","27,364,137,269","27,112,800,000","251,337,269",3/18/2022,9/18/2023
4142116331,333288,Khách hàng cá nhân,Hạn mức tín dụng,VND,"400,000,000","400,000,000","400,000,000", -   ,1/6/2022,1/6/2026
4080091181,333335,Khách hàng doanh nghiệp,Hạn mức tín dụng,VND,"207,000,000","450,000,000","207,000,000","243,000,000",1/22/2018,6/30/2021
9181804831,356190,Khách hàng doanh nghiệp,Hạn mức tín dụng,VND,"600,000,000","2,000,000,000","600,000,000","1,400,000,000",12/29/2018,12/29/2023
6022005341,754361,Khách hàng doanh nghiệp,Hạn mức tín dụng,VND,"350,000,000","1,100,000,000","350,000,000","750,000,000",6/5/2020,12/31/2022
,217807,Khách hàng doanh nghiệp,Hạn mức tín dụng,VND, -   ,"200,000,000", -   ,"200,000,000",,
,256197,Khách hàng doanh nghiệp,Hạn mức tín dụng,VND, -   ,"293,000,000", -   ,"293,000,000",,
,508221,Khách hàng doanh nghiệp,Hạn mức tín dụng,VND, -   ,"200,000,000", -   ,"200,000,000",,
,538186,Khách hàng doanh nghiệp,Hạn mức tín dụng,VND, -   ,"200,000,000", -   ,"200,000,000",,
1002207281,8256,Khách hàng kinh doanh nhỏ,Hạn mức tín dụng,VND,"496,552,800,000","800,000,000,000","496,552,800,000","303,447,200,000",9/10/2022,3/9/2024
9051900331,26702,Khách hàng kinh doanh nhỏ,Hạn mức tín dụng,VND, -   ,"258,645,420",,"258,645,420",1/8/2019,12/30/2022
9052004351,26702,Khách hàng kinh doanh nhỏ,Hạn mức tín dụng,VND,"6,100,411,379","15,000,000,000","6,100,411,379","8,899,588,621",6/2/2020,1/10/2025
9262200821,33164,Khách hàng kinh doanh nhỏ,Hạn mức tín dụng,VND,"2,995,813,525","3,000,000,000","2,995,813,525","4,186,475",4/13/2022,9/23/2023
4022104051,37395,Khách hàng kinh doanh nhỏ,Hạn mức tín dụng,VND,"128,100,000,000","140,000,000,000","128,100,000,000","11,900,000,000",5/31/2021,12/31/2023
4022204561,37395,Khách hàng kinh doanh nhỏ,Hạn mức tín dụng,VND,"11,870,000,000","100,000,000,000","11,870,000,000","88,130,000,000",7/1/2022,7/1/2023
9282003401,188617,"Khách hàng thuộc lĩnh vực chứng khoán, bảo hiểm, tài chính",Hạn mức tín dụng,VND, -   ,"750,000,000",,"750,000,000",7/20/2020,7/20/2023
6032105691,419210,Khách hàng kinh doanh nhỏ,Hạn mức tín dụng,USD,"43,608,000,000","46,352,472,798","43,608,000,000","2,744,472,798",12/23/2021,6/23/2023
9282103511,518992,Khách hàng kinh doanh nhỏ,Hạn mức tín dụng,USD,"7,248,645,948","14,206,646,946","7,248,645,948","6,958,000,998",11/26/2021,8/24/2023
7062008102,547047,Khách hàng kinh doanh nhỏ,Hạn mức tín dụng,USD,"24,837,600,000","28,551,106,548","24,837,600,000","3,713,506,548",12/25/2020,6/25/2023
6042200332,679581,Khách hàng kinh doanh nhỏ,Hạn mức tín dụng,USD,"55,363,200,000","126,366,148,500","55,363,200,000","71,002,948,500",3/10/2022,8/10/2023
