Instrument Id,Instrument Type,Currency,Face Value,Book Value,Market Value,Instrument Purchase Date,Instrument Issue Date,Instrument Maturity Date,Next Interest Payment Amount,Issuer Counterparty Type,Risk Weight As Per C41,Rating Agency,Credit Rating,Pledged to other institute,Encumbered End Date,Pledged amount used for liquidity,Accrued Interest,Provision,Next Coupon Date
B0683,Chứng chỉ tiền gửi,VND,"300,000,000,000","300,000,000,795","320,490,000,000",11/18/2020,11/17/2020,11/17/2022,,Cty tài chính,80%,Fitch Rating,BB-,NA,,,"20,125,479,452", -   ,"Thursday, November 17, 2022"
B0790,Chứng chỉ tiền gửi,VND,"500,000,000,000","500,000,000,000","510,495,000,000",10/26/2021,10/26/2021,4/26/2023,,Cty tài chính,100%,Fitch Rating,B,NA,,,"12,336,986,301", -   ,"Wednesday, October 26, 2022"
B0791,Chứng chỉ tiền gửi,VND,"100,000,000,000","100,000,000,000","105,406,000,000",10/27/2021,10/27/2021,10/21/2022,,Cty tài chính,150%,,,NA,,,"5,386,849,315", -   ,"Friday, October 21, 2022"
B0794,Chứng chỉ tiền gửi,VND,"200,000,000,000","200,006,679,742","209,674,000,000",11/24/2021,11/18/2021,11/18/2022,,Cty tài chính,80%,Fitch Rating,BB-,NA,,,"9,987,671,233", -   ,"Friday, November 18, 2022"
B0817,Chứng chỉ tiền gửi,VND,"100,000,000,000","100,000,000,000","102,219,000,000",1/25/2022,1/25/2022,1/17/2023,,Ngân hàng,150%,,,NA,,,"2,865,205,479", -   ,"Tuesday, January 17, 2023"
B0819,Chứng chỉ tiền gửi,VND,"300,000,000,000","299,999,999,974","312,195,000,000",1/26/2022,1/25/2022,1/18/2023,,Cty tài chính,150%,,,NA,,,"12,484,109,589", -   ,"Wednesday, January 18, 2023"
B0828,Chứng chỉ tiền gửi,VND,"500,000,000,000","500,000,000,000","498,295,000,000",6/10/2022,6/10/2022,6/2/2023,,Ngân hàng,80%,Fitch Rating,BB-,Ngân hàng,6/2/2023,"400,000,000,000","6,191,780,822", -   ,"Friday, June 2, 2023"
,Chứng khoán vốn,VND,"16,500,000,000","23,545,500,000",,10/1/2011,,,,Công ty cổ phần,150%,,,NA,,,,"5,480,209,791",
,Chứng khoán vốn,VND,"52,629,810,000","52,629,810,000",,4/22/2010,,,,Ngân hàng,100%,Moody's,B3,NA,,,, -   ,
,Chứng khoán vốn,VND,"50,738,820,000","50,738,820,000",,10/15/2010,,,,Ngân hàng,100%,Moody's,B3,NA,,,, -   ,
,Chứng khoán vốn,VND,"1,179,080,000","1,061,172,000",,12/12/2012,,,,Công ty cổ phần,150%,,,NA,,,,"1,061,172,000",
,Chứng khoán vốn,VND,"983,320,000","776,134,476",,8/30/2013,,,,Công ty cổ phần,150%,,,NA,,,,"776,134,476",
,Chứng khoán vốn,VND,"18,001,190,000","14,382,950,810",,12/12/2012,,,,Công ty cổ phần,150%,,,NA,,,,"14,382,950,810",
,Chứng khoán vốn,VND,"630,000,000","851,193,000",,3/8/2012,,,,Công ty cổ phần,150%,,,NA,,,, -   ,
B0561,Trái phiếu,VND,"3,000,000,000","2,990,345,541","3,105,510,000",5/30/2019,5/30/2019,5/30/2034,,Kho Bạc Nhà nước,0%,,,NA,,,"50,958,904", -   ,"Tuesday, May 30, 2023"
B0583,Trái phiếu,VND,"6,000,000,000","6,271,771,741","6,722,640,000",7/18/2019,1/17/2019,1/17/2039,,Kho Bạc Nhà nước,0%,,,NA,,,"236,580,822", -   ,"Tuesday, January 17, 2023"
B0594,Trái phiếu,VND,"22,000,000,000","22,184,970,397","21,809,920,000",8/22/2019,7/25/2019,7/25/2034,,Kho Bạc Nhà nước,0%,,,NA,,,"188,536,986", -   ,"Tuesday, July 25, 2023"
