Off BS Account ID,Product Type,Business entity type ,Currency, OBS Limit , Unutilised Value ,Start Date,Maturity Date
4101900021,Tài trợ thương mại,Khách hàng cá nhân,VND,"400,000,000", -   ,12/25/2019,1/7/2023
4102200031,Tài trợ thương mại,Khách hàng cá nhân,VND,"400,000,000", -   ,3/10/2022,3/10/2023
4102200042,Tài trợ thương mại,Khách hàng cá nhân,VND,"400,000,000", -   ,5/31/2022,9/25/2023
4102200051,Tài trợ thương mại,Khách hàng cá nhân,VND,"600,000,000", -   ,6/7/2022,5/10/2023
4142100061,Tài trợ thương mại,Khách hàng cá nhân,VND,"1,000,000,000", -   ,6/30/2021,2/28/2023
4192200031,Tài trợ thương mại,Khách hàng cá nhân,VND,"1,000,000,000", -   ,4/7/2022,4/7/2023
5092200011,Tài trợ thương mại,Khách hàng cá nhân,VND,"900,000,000", -   ,6/23/2022,6/22/2024
1002002881,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"259,608,230", -   ,1/4/2021,12/28/2022
1002101371,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"58,864,000,000","57,140,157,130",10/29/2021,10/20/2024
1002101371,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"58,864,000,000","58,721,000,000",10/29/2021,10/20/2024
1002101371,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"58,864,000,000","58,123,720,000",10/29/2021,10/20/2024
1002101371,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"58,864,000,000","57,871,870,640",10/29/2021,10/20/2024
1002200011,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"212,591,338", -   ,1/6/2022,1/1/2023
1002200021,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"3,129,000", -   ,1/6/2022,1/1/2023
1002200341,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"2,004,688", -   ,4/29/2022,12/14/2022
1002200381,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"15,000,000", -   ,5/9/2022,10/8/2022
1002200391,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"300,000", -   ,5/13/2022,12/8/2022
1002200481,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"440,000,000", -   ,6/15/2022,10/28/2022
1002200611,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"2,262,930", -   ,7/14/2022,12/15/2022
1002200632,Tài trợ thương mại,Khách hàng doanh nghiệp,VND,"24,244,400,000", -   ,7/28/2022,7/1/2025
7132201711,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,USD,"950,000,000","457,040,000",9/21/2022,9/21/2023
9052200271,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,USD,"363,000,235,000.00","353,024,810,200.00",9/5/2022,3/5/2023
9052200271,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,USD,"363,000,235,000.00","353,484,685,000.00",9/5/2022,3/5/2023
9052200271,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,USD,"363,000,235,000.00","360,165,122,500.00",9/5/2022,3/5/2023
9052200271,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,USD,"363,000,235,000.00","346,450,216,900.00",9/5/2022,3/5/2023
1001902461,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND,"3,840,000", -   ,10/22/2019,10/11/2022
1001902511,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND,"2,880,000", -   ,10/24/2019,10/4/2022
1001902521,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND,"4,800,000", -   ,10/24/2019,10/11/2022
1001902541,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND,"5,760,000", -   ,10/28/2019,10/19/2022
1001902551,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND,"6,720,000", -   ,10/28/2019,10/11/2022
1001902591,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND,"6,720,000", -   ,10/28/2019,10/8/2022
1001902661,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND,"4,800,000", -   ,10/31/2019,10/12/2022
