Account ID with FI,Product Type,Operational,Purpose of Deposit,Currency,Deposit balance,Start Date,Maturity Date,Interest Receivable,Next Interest Payment Due Date,Accrued Interest
000000285900001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 8,913,718 ",4/22/2010,,,,
000000315900020,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 2,509,354,911,303 ",6/23/2014,,,,
000000335400003,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 2,255,151 ",5/9/2013,,,,
000000390300004,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 63,627,971,124 ",4/22/2010,,,,
000000398700001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 1,681,330 ",4/22/2010,,,,
000000435200006,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 58,335,061 ",10/25/2014,,,,
000000593500005,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 2,430,847 ",7/13/2010,,,,
000000650900001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 3,697,413 ",11/12/2010,,,,
000000737600001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 2,020,612,546,060 ",4/22/2010,,,,
000000807900001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 164,845,439,738 ",4/22/2010,,,,
000000807900002,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 8,471,576,139 ",1/27/2011,,,,
000000807900004,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 3,178,461,996 ",1/2/2014,,,,
000000807900005,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 5,547,127,674 ",1/2/2014,,,,
000000808000001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 81,474,886 ",4/22/2010,,,,
000000927400001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 1,858,700 ",10/15/2011,,,,
000000940200001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 501,263,544,554 ",4/22/2010,,,,
000000950000001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 290,604,319,262 ",4/22/2010,,,,
000000991100017,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 899,506,327 ",8/31/2017,,,,
000001008400001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 2,417,180 ",6/7/2010,,,,
000002392500002,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 4,368,826,462 ",12/21/2010,,,,
000008726100002,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 2,518,777,558,817 ",2/8/2018,,,,
000012896400001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 2,590,643,953 ",7/3/2012,,,,
000016426300003,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 31,487,189,772 ",6/12/2019,,,,
000032481300001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 223,448,943 ",11/18/2016,,,,
000000390300011,Tiền gửi KKH,,Phục vụ thanh khoản, SGD ," 40,997,396 ",6/1/2011,,,,
000000369200001,Tiền gửi KKH,,Phục vụ thanh khoản, EUR ," 709,624,059 ",4/22/2010,,,,
801002283600003,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 69,493,614 ",4/22/2010,,,,
000000950000002,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 259,067,307 ",7/18/2013,,,,
000000807900007,Tiền gửi KKH,,Phục vụ thanh khoản, CAD ," 4,080,058 ",7/7/2016,,,,
613054541700001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 1,541,949 ",6/4/2019,,,,
000000662800001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 2,000,002,958,725 ",4/22/2010,,,,
000000390300005,Tiền gửi KKH,,Phục vụ thanh khoản, CHF ," 181,689,540 ",4/22/2010,,,,
401002904100002,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 52,799,016 ",3/10/2011,,,,
000000390300014,Tiền gửi KKH,,Phục vụ thanh khoản, KRW ," 8,315,000 ",5/21/2019,,,,
000000737600007,Tiền gửi KKH,,Phục vụ thanh khoản, VND , 7 ,3/31/2015,,,,
000031736100001,Tiền gửi KKH,,Phục vụ thanh khoản, CAD ," 595,593,893 ",10/6/2016,,,,
000000369200004,Tiền gửi KKH,,Phục vụ thanh khoản, AUD ," 7,560,936,466 ",7/5/2018,,,,
000000807900003,Tiền gửi KKH,,Phục vụ thanh khoản, EUR ," 25,251,193 ",12/5/2011,,,,
000000390300001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 304,163,787 ",4/22/2010,,,,
000023353400014,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 9,461,470,866 ",12/31/2015,,,,
000011062200001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 1,140,360 ",11/18/2011,,,,
000011062200002,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 35,295,462 ",12/27/2011,,,,
000000327900001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 3,327,267 ",6/9/2010,,,,
613053429400001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 2,225,986 ",5/8/2019,,,,
000032482300001,Tiền gửi KKH,,Phục vụ thanh khoản, USD ," 288,374,837,442 ",11/18/2016,,,,
000052693200001,Tiền gửi KKH,,Phục vụ thanh khoản, KRW ," 15,738,532 ",4/16/2019,,,,
000000807900006,Tiền gửi KKH,,Phục vụ thanh khoản, HKD ," 181,860,163 ",12/25/2015,,,,
000000390300003,Tiền gửi KKH,,Phục vụ thanh khoản, GBP ," 1,134,703,250 ",4/22/2010,,,,
613054921200001,Tiền gửi KKH,,Phục vụ thanh khoản, VND ," 6,732,977 ",6/14/2019,,,,
