Currency,Volatile Flag
VND,No
AFN,Yes
ALL,Yes
DZD,Yes
EUR,Yes
AOA,Yes
XCD,Yes
ARS,Yes
AMD,Yes
AUD,Yes
EUR,Yes
AZN,Yes
BSD,Yes
BHD,Yes
BDT,Yes
BBD,Yes
BYN,Yes
EUR,Yes
BZD,Yes
XOF,Yes
BTN,Yes
BOB,Yes
BAM,Yes
BWP,Yes
BRL,Yes
BND,Yes
BGN,Yes
XOF,Yes
BIF,Yes
KHR,Yes
XAF,Yes
CAD,Yes
CVE,Yes
XAF,Yes
XAF,Yes
CLP,Yes
CNY,Yes
COP,Yes
KMF,Yes
CRC,Yes
HRK,Yes
CUP,Yes
EUR,Yes
CZK,Yes
CDF,Yes
DKK,Yes
DJF,Yes
XCD,Yes
DOP,Yes
USD,Yes
USD,Yes
EGP,Yes
USD,Yes
XAF,Yes
ERN,Yes
EUR,Yes
SZL,Yes
ETB,Yes
FJD,Yes
EUR,Yes
EUR,Yes
XAF,Yes
GMD,Yes
GEL,Yes
EUR,Yes
GHS,Yes
EUR,Yes
XCD,Yes
GTQ,Yes
GNF,Yes
XOF,Yes
GYD,Yes
HTG,Yes
HNL,Yes
HUF,Yes
ISK,Yes
INR,Yes
IDR,Yes
IRR,Yes
IQD,Yes
EUR,Yes
ILS,Yes
EUR,Yes
XOF,Yes
JMD,Yes
JPY,Yes
JOD,Yes
KZT,Yes
KES,Yes
AUD,Yes
KPW,Yes
KRW,Yes
EUR,Yes
KWD,Yes
KGS,Yes
LAK,Yes
EUR,Yes
LBP,Yes
LSL,Yes
LRD,Yes
LYD,Yes
CHF,Yes
EUR,Yes
EUR,Yes
MGA,Yes
MWK,Yes
MYR,Yes
MVR,Yes
XOF,Yes
EUR,Yes
USD,Yes
MRO,Yes
MUR,Yes
MXN,Yes
USD,Yes
MDL,Yes
EUR,Yes
MNT,Yes
EUR,Yes
MAD,Yes
MZN,Yes
MMK,Yes
NAD,Yes
AUD,Yes
NPR,Yes
EUR,Yes
NZD,Yes
NIO,Yes
XOF,Yes
NGN,Yes
MKD,Yes
NOK,Yes
OMR,Yes
PKR,Yes
USD,Yes
ILS,Yes
PAB,Yes
PGK,Yes
PYG,Yes
PEN,Yes
PHP,Yes
PLN,Yes
EUR,Yes
QAR,Yes
XAF,Yes
RON,Yes
RUB,Yes
RWF,Yes
XCD,Yes
XCD,Yes
XCD,Yes
WST,Yes
EUR,Yes
STD,Yes
SAR,Yes
XOF,Yes
RSD,Yes
SCR,Yes
SLL,Yes
SGD,Yes
EUR,Yes
EUR,Yes
SBD,Yes
SOS,Yes
ZAR,Yes
SSP,Yes
EUR,Yes
LKR,Yes
SDG,Yes
SRD,Yes
SEK,Yes
CHF,Yes
SYP,Yes
TWD,Yes
TJS,Yes
TZS,Yes
THB,Yes
XOF,Yes
TOP,Yes
TTD,Yes
TND,Yes
TRY,Yes
TMT,Yes
AUD,Yes
UGX,Yes
UAH,Yes
AED,Yes
GBP,Yes
USD,Yes
UYU,Yes
UZS,Yes
VUV,Yes
EUR,Yes
VEF,Yes
YER,Yes
ZMW,Yes
,
