Deal No,Derivative Type,Currency Pair,Deal Date,End Date,Near Buy Currency,Near Buy Amount,Near Sell Currency,Near Sell Amount,Far Buy Currency,Far Buy Amount,Far Sell Currency,Far Sell Amount,MTM,Margin Amount
000FXFW221460233,FX Forward,USD/VND,5/24/2022,11/23/2022,,,,,USD,"233,854,900,000",,," 3,145,100,000 ", -   
000FXFW221860237,FX Forward,USD/VND,7/5/2022,10/5/2022,,,,,USD,"1,813,500,000,000",,," 35,100,000,000 ", -   
000FXFW222590240,FX Forward,USD/VND,9/16/2022,9/15/2023,,,,,USD,"240,879,300,000",,," (3,879,300,000)", -   
000FXFW222590241,FX Forward,USD/VND,9/16/2022,9/15/2023,,,,,USD,"240,879,300,000",,," (3,879,300,000)", -   
000SWAP213551042,FX SWAP,USD/VND,12/21/2021,12/21/2022,,,USD,"229,000,000,000",USD,"232,206,000,000",,," 4,794,000,000 ", -   
000SWAP213551043,FX SWAP,USD/VND,12/21/2021,12/21/2022,,,USD,"229,000,000,000",USD,"232,206,000,000",,," 4,794,000,000 ", -   
000SWAP213561051,FX SWAP,USD/VND,12/22/2021,12/22/2022,,,USD,"229,350,000,000",USD,"232,560,900,000",,," 4,439,100,000 ", -   
000SWAP213561052,FX SWAP,USD/VND,12/22/2021,12/22/2022,,,USD,"229,350,000,000",USD,"232,560,900,000",,," 4,439,100,000 ", -   
000SWAP220061073,FX SWAP,USD/VND,1/6/2022,1/6/2023,,,USD,"227,600,000,000",USD,"230,331,200,000",,," 6,668,800,000 ", -   
000SWAP220451106,FX SWAP,USD/VND,2/14/2022,2/14/2023,,,USD,"226,850,000,000",USD,"230,525,000,000",,," 6,475,000,000 ", -   
000SWAP220451107,FX SWAP,USD/VND,2/14/2022,2/14/2023,,,USD,"226,850,000,000",USD,"230,525,000,000",,," 6,475,000,000 ", -   
000SWAP220451108,FX SWAP,USD/VND,2/14/2022,2/14/2023,,,USD,"226,850,000,000",USD,"230,593,000,000",,," 6,407,000,000 ", -   
000SWAP220661175,FX SWAP,USD/VND,3/7/2022,3/7/2023,,,USD,"228,500,000,000",USD,"232,613,000,000",,," 4,387,000,000 ", -   
000SWAP220661176,FX SWAP,USD/VND,3/7/2022,3/7/2023,,,USD,"228,500,000,000",USD,"232,613,000,000",,," 4,387,000,000 ", -   
000SWAP220971212,FX SWAP,USD/VND,4/7/2022,1/9/2023,,,USD,"228,650,000,000",USD,"231,805,400,000",,," 5,194,600,000 ", -   
000SWAP220971213,FX SWAP,USD/VND,4/7/2022,1/9/2023,,,USD,"228,650,000,000",USD,"231,805,400,000",,," 5,194,600,000 ", -   
000SWAP221241257,FX SWAP,USD/VND,5/4/2022,10/28/2022,,,USD,"114,825,000,000",USD,"115,544,800,000",,," 2,955,200,000 ", -   
000SWAP221791402,FX SWAP,USD/VND,6/28/2022,2/14/2023,,,USD,"232,500,000,000",USD,"233,897,900,000",,," 3,102,100,000 ", -   
000SWAP221871420,FX SWAP,USD/VND,7/6/2022,4/6/2023,,,USD,"233,600,000,000",USD,"235,353,600,000",,," 1,646,400,000 ", -   
000SWAP221881421,FX SWAP,USD/VND,7/7/2022,7/7/2023,,,USD,"233,600,000,000",USD,"235,696,600,000",,," 1,303,400,000 ", -   
000SWAP222151456,FX SWAP,USD/VND,8/3/2022,12/2/2022,,,USD,"70,110,000,000",USD,"70,464,960,000",,," 635,040,000 ", -   
000SWAP222151458,FX SWAP,USD/VND,8/3/2022,12/2/2022,,,USD,"233,700,000,000",USD,"234,883,200,000",,," 2,116,800,000 ", -   
000SWAP222211473,FX SWAP,USD/VND,8/9/2022,11/17/2022,,,USD,"234,000,000,000",USD,"235,079,000,000",,," 1,921,000,000 ", -   
000SWAP222211477,FX SWAP,USD/VND,8/9/2022,12/19/2022,,,USD,"234,000,000,000",USD,"235,427,700,000",,," 1,572,300,000 ", -   
000SWAP222491522,FX SWAP,USD/VND,9/6/2022,1/17/2023,,,USD,"234,000,000,000",USD,"235,000,000,000",,," 2,000,000,000 ", -   
000SWAP222491524,FX SWAP,USD/VND,9/6/2022,12/7/2022,,,USD,"234,000,000,000",USD,"235,000,000,000",,," 2,000,000,000 ", -   
000SWAP222491526,FX SWAP,USD/VND,9/6/2022,11/7/2022,,,USD,"234,000,000,000",USD,"235,000,000,000",,," 2,000,000,000 ", -   
000SWAP222551540,FX SWAP,USD/VND,9/12/2022,11/15/2022,,,USD,"235,250,000,000",USD,"236,036,300,000",,," 963,700,000 ", -   
000SWAP222591548,FX SWAP,USD/VND,9/16/2022,9/15/2023,,,USD,"236,450,000,000",USD,"241,361,000,000",,," (4,361,000,000)", -   
000SWAP222711570,FX SWAP,USD/VND,9/28/2022,10/5/2022,,,USD,"237,350,000,000",USD,"237,454,700,000",,," (454,700,000)", -   
000SWAP222711571,FX SWAP,USD/VND,9/28/2022,10/5/2022,,,USD,"237,350,000,000",USD,"237,454,700,000",,," (454,700,000)", -   
000FXFW222650242,FX Forward,USD/VND,9/22/2022,3/22/2023,,  ,,,,,USD," 240,090,000,000 "," 3,090,000,000 ", -   
000FXFW222650243,FX Forward,USD/VND,9/22/2022,3/22/2023,,  ,,,,,USD," 240,090,000,000 "," 3,090,000,000 ", -   
000SWAP213561048,FX SWAP,USD/VND,12/22/2021,12/22/2022,USD," 229,350,000,000 ",,,,,USD," 232,675,600,000 "," (4,324,400,000)", -   
000SWAP213561049,FX SWAP,USD/VND,12/22/2021,12/22/2022,USD," 229,350,000,000 ",,,,,USD," 232,675,600,000 "," (4,324,400,000)", -   
000SWAP220661174,FX SWAP,USD/VND,3/7/2022,12/7/2022,USD," 228,500,000,000 ",,,,,USD," 231,633,300,000 "," (5,366,700,000)", -   
000SWAP220951206,FX SWAP,USD/VND,4/5/2022,11/7/2022,USD," 228,500,000,000 ",,,,,USD," 231,057,300,000 "," (5,942,700,000)", -   
000SWAP221081229,FX SWAP,USD/VND,4/18/2022,12/19/2022,USD," 229,300,000,000 ",,,,,USD," 231,829,200,000 "," (5,170,800,000)", -   
000SWAP221381286,FX SWAP,USD/VND,5/18/2022,11/15/2022,USD," 231,200,000,000 ",,,,,USD," 233,149,000,000 "," (3,851,000,000)", -   
000SWAP221401299,FX SWAP,USD/VND,5/20/2022,11/17/2022,USD," 232,500,000,000 ",,,,,USD," 233,555,000,000 "," (3,445,000,000)", -   
000SWAP221441309,FX SWAP,USD/VND,5/24/2022,11/23/2022,USD," 115,875,000,000 ",,,,,USD," 116,891,700,000 "," (1,608,300,000)", -   
000SWAP221441310,FX SWAP,USD/VND,5/24/2022,11/23/2022,USD," 115,875,000,000 ",,,,,USD," 116,891,700,000 "," (1,608,300,000)", -   
000SWAP221441312,FX SWAP,USD/VND,5/24/2022,2/14/2023,USD," 232,000,000,000 ",,,,,USD," 235,166,600,000 "," (1,833,400,000)", -   
000SWAP221461318,FX SWAP,USD/VND,5/26/2022,11/25/2022,USD," 232,000,000,000 ",,,,,USD," 234,024,400,000 "," (2,975,600,000)", -   
000SWAP221641381,FX SWAP,USD/VND,6/13/2022,12/14/2022,USD," 232,000,000,000 ",,,,,USD," 234,093,700,000 "," (2,906,300,000)", -   
000SWAP221741397,FX SWAP,USD/VND,44735,44971,USD," 232,500,000,000 ",,,,,USD," 234,071,800,000 "," (2,928,200,000)", -   
000SWAP221851411,FX SWAP,USD/VND,44746,44839,USD," 232,750,000,000 ",,,,,USD," 232,750,000,000 "," (4,250,000,000)", -   
000SWAP221851412,FX SWAP,USD/VND,44746,44839,USD," 233,450,000,000 ",,,,,USD," 233,773,600,000 "," (3,226,400,000)", -   
000SWAP221851413,FX SWAP,USD/VND,44746,44839,USD," 233,450,000,000 ",,,,,USD," 233,773,600,000 "," (3,226,400,000)", -   
000SWAP221851414,FX SWAP,USD/VND,44746,44839,USD," 233,500,000,000 ",,,,,USD," 233,853,100,000 "," (3,146,900,000)", -   
000SWAP221851415,FX SWAP,USD/VND,44746,44839,USD," 232,750,000,000 ",,,,,USD," 232,750,000,000 "," (4,250,000,000)", -   
000SWAP221851416,FX SWAP,USD/VND,44746,44839,USD," 232,750,000,000 ",,,,,USD," 232,750,000,000 "," (4,250,000,000)", -   
000SWAP221851417,FX SWAP,USD/VND,44746,44839,USD," 186,200,000,000 ",,,,,USD," 186,200,000,000 "," (3,400,000,000)", -   
000SWAP221861418,FX SWAP,USD/VND,44747,44839,USD," 233,500,000,000 ",,,,,USD," 233,882,600,000 "," (3,117,400,000)", -   
000SWAP222071450,FX SWAP,USD/VND,44768,45114,USD," 233,800,000,000 ",,,,,USD," 236,245,600,000 "," (754,400,000)", -   
000SWAP222211475,FX SWAP,USD/VND,44782,44971,USD," 234,000,000,000 ",,,,,USD," 236,169,500,000 "," (830,500,000)", -   
000SWAP222211479,FX SWAP,USD/VND,44782,44971,USD," 234,000,000,000 ",,,,,USD," 236,169,500,000 "," (830,500,000)", -   
000SWAP222301491,FX SWAP,USD/VND,44791,44916,USD," 234,000,000,000 ",,,,,USD," 234,995,000,000 "," (2,005,000,000)", -   
000SWAP222301493,FX SWAP,USD/VND,44791,44916,USD," 234,000,000,000 ",,,,,USD," 234,995,000,000 "," (2,005,000,000)", -   
000SWAP222481518,FX SWAP,USD/VND,44809,44932,USD," 234,000,000,000 ",,,,,USD," 236,504,300,000 "," (495,700,000)", -   
000SWAP222491523,FX SWAP,USD/VND,44810,45022,USD," 235,000,000,000 ",,,,,USD," 236,068,100,000 "," (931,900,000)", -   
000SWAP222491525,FX SWAP,USD/VND,44810,44992,USD," 235,000,000,000 ",,,,,USD," 236,332,700,000 "," (667,300,000)", -   
000SWAP222491527,FX SWAP,USD/VND,44810,44992,USD," 235,000,000,000 ",,,,,USD," 236,699,700,000 "," (300,300,000)", -   
000SWAP222591550,FX SWAP,USD/VND,44820,45005,USD," 236,660,000,000 ",,,,,USD," 239,433,100,000 "," 2,433,100,000 ", -   
000SWAP222651558,FX SWAP,USD/VND,44826,45184,USD," 237,150,000,000 ",,,,,USD," 242,716,900,000 "," 5,716,900,000 ", -   
000SWAP222731575,FX SWAP,USD/VND,44834,44837,USD," 119,125,000,000 ",,,,,USD," 119,147,500,000 "," 647,500,000 ", -   
