Deal No,Derivative Type,Currency Pair,Deal Date,End Date,Near Buy Currency,Near Buy Amount,Near Sell Currency,Near Sell Amount,Far Buy Currency,Far Buy Amount,Far Sell Currency,Far Sell Amount,MTM,Margin Amount
000FXFW221460233,FX Forward,USD/VND,5/24/2022,11/23/2022,,,,,USD,"233,854,900,000",,," 3,145,100,000 ", -   
000FXFW221860237,FX Forward,USD/VND,7/5/2022,10/5/2022,,,,,USD,"1,813,500,000,000",,," 35,100,000,000 ", -   
000FXFW222590240,FX Forward,USD/VND,9/16/2022,9/15/2023,,,,,USD,"240,879,300,000",,," (3,879,300,000)", -   
000FXFW222590241,FX Forward,USD/VND,9/16/2022,9/15/2023,,,,,USD,"240,879,300,000",,," (3,879,300,000)", -   
000SWAP213551042,FX SWAP,USD/VND,12/21/2021,12/21/2022,,,USD,"229,000,000,000",USD,"232,206,000,000",,," 4,794,000,000 ", -   
000SWAP213551043,FX SWAP,USD/VND,12/21/2021,12/21/2022,,,USD,"229,000,000,000",USD,"232,206,000,000",,," 4,794,000,000 ", -   
000SWAP213561051,FX SWAP,USD/VND,12/22/2021,12/22/2022,,,USD,"229,350,000,000",USD,"232,560,900,000",,," 4,439,100,000 ", -   
000SWAP213561052,FX SWAP,USD/VND,12/22/2021,12/22/2022,,,USD,"229,350,000,000",USD,"232,560,900,000",,," 4,439,100,000 ", -   
000SWAP220061073,FX SWAP,USD/VND,1/6/2022,1/6/2023,,,USD,"227,600,000,000",USD,"230,331,200,000",,," 6,668,800,000 ", -   
000SWAP220451106,FX SWAP,USD/VND,2/14/2022,2/14/2023,,,USD,"226,850,000,000",USD,"230,525,000,000",,," 6,475,000,000 ", -   
000SWAP220451107,FX SWAP,USD/VND,2/14/2022,2/14/2023,,,USD,"226,850,000,000",USD,"230,525,000,000",,," 6,475,000,000 ", -   
000SWAP220451108,FX SWAP,USD/VND,2/14/2022,2/14/2023,,,USD,"226,850,000,000",USD,"230,593,000,000",,," 6,407,000,000 ", -   
000SWAP220661175,FX SWAP,USD/VND,3/7/2022,3/7/2023,,,USD,"228,500,000,000",USD,"232,613,000,000",,," 4,387,000,000 ", -   
