Facility ID,Customer ID,Customer Type,Product Type,Currency,Amount,Credit Limit,Drawn Credit Line, Undrawn Credit Line ,Start Date,Maturity Date
1002105841,0002202,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 120,000,000 ",," 120,000,000 ",6/3/2021,6/30/2024
9022203901,0002219,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 150,000,000 ",," 150,000,000 ",6/24/2022,6/30/2027
9071900191,0002343,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 50,000,000 ",," 50,000,000 ",1/18/2019,1/31/2025
9032101021,0002895,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 100,000,000 ",," 100,000,000 ",2/24/2021,2/24/2024
9022007771,0003204,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 50,000,000 ",," 50,000,000 ",11/19/2020,11/30/2023
8051400061,0003217,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 33,000,000 ",," 33,000,000 ",8/27/2014,12/31/2024
9281809281,0003240,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 50,000,000 ",," 50,000,000 ",12/25/2018,12/31/2024
9181501451,0003785,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 100,000,000 ",," 100,000,000 ",5/31/2021,5/31/2024
9211900241,0003800,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 25,000,000 ",," 25,000,000 ",1/22/2019,1/22/2027
9022104701,0004012,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 50,000,000 ",," 50,000,000 ",7/26/2021,7/31/2024
9112201601,0004419,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 100,000,000 ",," 100,000,000 ",6/8/2022,6/8/2027
1001812371,0005148,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 25,000,000 ",," 25,000,000 ",8/23/2018,8/31/2024
1002004751,0006410,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 50,000,000 ",," 50,000,000 ",4/20/2020,4/30/2023
9102103061,0007001,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 150,000,000 ",," 150,000,000 ",11/9/2021,11/9/2024
6052003842,0007029,Khách hàng cá nhân,Hạn mức tín dụng,VND, -   ," 30,000,000 ",," 30,000,000 ",5/14/2022,5/11/2023
