Loan Id,Customer Id,Customer Type,Product Type,Currency,Loan Outstanding,Start Date,Maturity Date,Loan Group,Overdue Flag,Principal Repayment,Next Principle Due Date,Interest Payment,Next Interest Due Date,Risk Weight  as per C41,Accrued Interest,Provision
610000020010004C,0002001,Khách hàng cá nhân,CHO VAY THE,VND," 192,107,111 ",9/24/2022,1/23/2023,1, No ," 6,379,415 ",10/8/2022, -   ,1/0/1900,75%, -   ," 1,440,803 "
610000020010004S,0002001,Khách hàng cá nhân,CHO VAY THE,VND," 15,455,000 ",9/24/2022,1/23/2023,1, No ," 513,223 ",10/8/2022, -   ,1/0/1900,75%, -   ," 115,912 "
710000020010006I,0002001,Khách hàng cá nhân,CHO VAY THE,VND," 3,780,324 ",9/14/2022,1/13/2023,1, No ," 125,535 ",10/8/2022, -   ,1/0/1900,75%, -   ," 28,352 "
710000020010006S,0002001,Khách hàng cá nhân,CHO VAY THE,VND," 9,048,950 ",9/14/2022,1/13/2023,1, No ," 300,494 ",10/8/2022, -   ,1/0/1900,75%, -   ," 67,867 "
690400020090001S,0002009,Khách hàng cá nhân,CHO VAY THE,VND," 46,305,671 ",9/24/2022,1/23/2023,1, No ," 1,400,338 ",1/23/2023, -   ,1/0/1900,75%, -   ," 347,293 "
690400020090005S,0002009,Khách hàng cá nhân,CHO VAY THE,VND," 1,254,497 ",9/24/2022,1/23/2023,1, No ," 100,000 ",1/23/2023, -   ,1/0/1900,75%, -   ," 9,409 "
600000020550004S,0002055,Khách hàng cá nhân,CHO VAY THE,VND," 45,493,008 ",9/24/2022,1/23/2023,1, No ," 1,241,500 ",1/23/2023, -   ,1/0/1900,75%, -   ," 341,198 "
391300020690007C,0002069,Khách hàng cá nhân,CHO VAY THE,VND," 16,259,806 ",9/24/2022,1/23/2023,1, No ," 491,986 ",1/23/2023, -   ,1/0/1900,75%, -   ," 121,949 "
600000021070002S,0002107,Khách hàng cá nhân,CHO VAY THE,VND," 2,833,322 ",9/24/2022,1/23/2023,1, No , -   ,1/23/2023, -   ,1/0/1900,75%, -   ," 21,250 "
791000021500003S,0002150,Khách hàng cá nhân,CHO VAY THE,VND," 9,556,817 ",9/14/2022,1/13/2023,1, No ," 284,130 ",1/13/2023, -   ,1/0/1900,75%, -   ," 71,676 "
392400021510005C,0002151,Khách hàng cá nhân,CHO VAY THE,VND," 9,241,492 ",9/24/2022,1/23/2023,1, No ," 279,625 ",1/23/2023, -   ,1/0/1900,75%, -   ," 69,311 "
691000021600001S,0002160,Khách hàng cá nhân,CHO VAY THE,VND," 9,416,072 ",9/24/2022,1/23/2023,1, No ," 284,773 ",1/23/2023, -   ,1/0/1900,75%, -   ," 70,621 "
710000021700006S,0002170,Khách hàng cá nhân,CHO VAY THE,VND," 8,914,711 ",9/14/2022,1/13/2023,1, No ," 241,992 ",1/13/2023, -   ,1/0/1900,75%, -   ," 66,860 "
600000021890001S,0002189,Khách hàng cá nhân,CHO VAY THE,VND," 9,036,000 ",9/24/2022,1/23/2023,1, No ," 273,814 ",1/23/2023, -   ,1/0/1900,75%, -   ," 67,770 "
