Off BS Account ID,Product Type,Business entity type ,Currency, OBS Limit , Unutilised Value ,Start Date,Maturity Date
1001901381,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 288,255,602 ", -   ,6/18/2019,6/3/2024
1001902391,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 78,876,550 ", -   ,10/16/2019,10/16/2022
1001902441,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 5,760,000 ", -   ,10/22/2019,10/2/2022
1001902451,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 3,840,000 ", -   ,10/22/2019,10/11/2022
1001902461,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 3,840,000 ", -   ,10/22/2019,10/11/2022
1001902511,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 2,880,000 ", -   ,10/24/2019,10/4/2022
1001902521,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 4,800,000 ", -   ,10/24/2019,10/11/2022
1001902541,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 5,760,000 ", -   ,10/28/2019,10/19/2022
1001902551,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 6,720,000 ", -   ,10/28/2019,10/11/2022
1001902591,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 6,720,000 ", -   ,10/28/2019,10/8/2022
1001902661,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 4,800,000 ", -   ,10/31/2019,10/12/2022
1001902741,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 500,000,000 ", -   ,11/18/2019,10/29/2022
1001902801,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 7,443,000 ", -   ,11/25/2019,11/20/2022
1001902811,Tài trợ thương mại,Khách hàng kinh doanh nhỏ,VND," 5,904,000 ", -   ,11/25/2019,11/20/2022
