Stable,Product,Counterparty Category,Time,Significant Penalty,Concat,ASF Factor
Stable,Operational Deposit,Domestic Sovereign,Less than 6 months,Yes,Operational DepositDomestic SovereignLess than 6 monthsYes,50%
Stable,Operational Deposit,Domestic Sovereign,6 months to 1 year,Yes,Operational DepositDomestic Sovereign6 months to 1 yearYes,50%
Stable,Operational Deposit,Domestic Sovereign,More than 1 year,Yes,Operational DepositDomestic SovereignMore than 1 yearYes,50%
Stable,Operational Deposit,MDB,Less than 6 months,Yes,Operational DepositMDBLess than 6 monthsYes,50%
Stable,Operational Deposit,MDB,6 months to 1 year,Yes,Operational DepositMDB6 months to 1 yearYes,50%
Stable,Operational Deposit,MDB,More than 1 year,Yes,Operational DepositMDBMore than 1 yearYes,50%
Stable,Demand Deposit,MDB,More than 1 year,Yes,Demand DepositMDBMore than 1 yearYes,0%
Stable,Demand Deposit,Domestic Sovereign,More than 1 year,Yes,Demand DepositDomestic SovereignMore than 1 yearYes,0%
Stable,Demand Deposit,FIs,More than 1 year,Yes,Demand DepositFIsMore than 1 yearYes,0%
Stable,Demand Deposit,Corp,More than 1 year,Yes,Demand DepositCorpMore than 1 yearYes,0%
Stable,Demand Deposit,Others,More than 1 year,Yes,Demand DepositOthersMore than 1 yearYes,0%
Stable,Demand Deposit,Retail,More than 1 year,Yes,Demand DepositRetailMore than 1 yearYes,95%
Stable,Demand Deposit,Small Business Customer,More than 1 year,Yes,Demand DepositSmall Business CustomerMore than 1 yearYes,95%
Stable,Demand Deposit,PSEs,More than 1 year,Yes,Demand DepositPSEsMore than 1 yearYes,0%
Stable,Term Deposit,MDB,More than 1 year,Yes,Term DepositMDBMore than 1 yearYes,100%
Stable,Term Deposit,Domestic Sovereign,More than 1 year,Yes,Term DepositDomestic SovereignMore than 1 yearYes,100%
Stable,Term Deposit,FIs,More than 1 year,Yes,Term DepositFIsMore than 1 yearYes,100%
Stable,Term Deposit,Corp,More than 1 year,Yes,Term DepositCorpMore than 1 yearYes,100%
Stable,Term Deposit,Others,More than 1 year,Yes,Term DepositOthersMore than 1 yearYes,100%
Stable,Term Deposit,Retail,More than 1 year,Yes,Term DepositRetailMore than 1 yearYes,100%
Stable,Term Deposit,Small Business Customer,More than 1 year,Yes,Term DepositSmall Business CustomerMore than 1 yearYes,100%
Stable,Term Deposit,PSEs,More than 1 year,Yes,Term DepositPSEsMore than 1 yearYes,100%
Stable,Demand Deposit,MDB,Less than 6 months,Yes,Demand DepositMDBLess than 6 monthsYes,0%
Stable,Demand Deposit,MDB,6 months to 1 year,Yes,Demand DepositMDB6 months to 1 yearYes,0%
Stable,Term Deposit,MDB,Less than 6 months,Yes,Term DepositMDBLess than 6 monthsYes,50%
Stable,Term Deposit,MDB,6 months to 1 year,Yes,Term DepositMDB6 months to 1 yearYes,50%
Stable,Demand Deposit,Domestic Sovereign,Less than 6 months,Yes,Demand DepositDomestic SovereignLess than 6 monthsYes,0%
Stable,Demand Deposit,Domestic Sovereign,6 months to 1 year,Yes,Demand DepositDomestic Sovereign6 months to 1 yearYes,0%
Stable,Term Deposit,Domestic Sovereign,Less than 6 months,Yes,Term DepositDomestic SovereignLess than 6 monthsYes,50%
Stable,Term Deposit,Domestic Sovereign,6 months to 1 year,Yes,Term DepositDomestic Sovereign6 months to 1 yearYes,50%
Stable,Demand Deposit,FIs,Less than 6 months,Yes,Demand DepositFIsLess than 6 monthsYes,0%
Stable,Demand Deposit,FIs,6 months to 1 year,Yes,Demand DepositFIs6 months to 1 yearYes,0%
Stable,Term Deposit,FIs,Less than 6 months,Yes,Term DepositFIsLess than 6 monthsYes,0%
Stable,Term Deposit,FIs,6 months to 1 year,Yes,Term DepositFIs6 months to 1 yearYes,50%
Stable,Demand Deposit,Corp,Less than 6 months,Yes,Demand DepositCorpLess than 6 monthsYes,0%
Stable,Demand Deposit,Corp,6 months to 1 year,Yes,Demand DepositCorp6 months to 1 yearYes,0%
Stable,Term Deposit,Corp,Less than 6 months,Yes,Term DepositCorpLess than 6 monthsYes,50%
Stable,Term Deposit,Corp,6 months to 1 year,Yes,Term DepositCorp6 months to 1 yearYes,50%
Stable,Demand Deposit,Others,Less than 6 months,Yes,Demand DepositOthersLess than 6 monthsYes,0%
Stable,Demand Deposit,Others,6 months to 1 year,Yes,Demand DepositOthers6 months to 1 yearYes,0%
Stable,Term Deposit,Others,Less than 6 months,Yes,Term DepositOthersLess than 6 monthsYes,0%
Stable,Term Deposit,Others,6 months to 1 year,Yes,Term DepositOthers6 months to 1 yearYes,50%
Stable,Demand Deposit,Retail,Less than 6 months,Yes,Demand DepositRetailLess than 6 monthsYes,95%
Stable,Demand Deposit,Retail,6 months to 1 year,Yes,Demand DepositRetail6 months to 1 yearYes,95%
Stable,Term Deposit,Retail,Less than 6 months,Yes,Term DepositRetailLess than 6 monthsYes,0%
Stable,Term Deposit,Retail,6 months to 1 year,Yes,Term DepositRetail6 months to 1 yearYes,0%
Stable,Demand Deposit,Small Business Customer,Less than 6 months,Yes,Demand DepositSmall Business CustomerLess than 6 monthsYes,95%
Stable,Demand Deposit,Small Business Customer,6 months to 1 year,Yes,Demand DepositSmall Business Customer6 months to 1 yearYes,95%
Stable,Term Deposit,Small Business Customer,Less than 6 months,Yes,Term DepositSmall Business CustomerLess than 6 monthsYes,0%
Stable,Term Deposit,Small Business Customer,6 months to 1 year,Yes,Term DepositSmall Business Customer6 months to 1 yearYes,0%
Stable,Demand Deposit,PSEs,Less than 6 months,Yes,Demand DepositPSEsLess than 6 monthsYes,0%
Stable,Demand Deposit,PSEs,6 months to 1 year,Yes,Demand DepositPSEs6 months to 1 yearYes,0%
Stable,Term Deposit,PSEs,Less than 6 months,Yes,Term DepositPSEsLess than 6 monthsYes,50%
Stable,Term Deposit,PSEs,6 months to 1 year,Yes,Term DepositPSEs6 months to 1 yearYes,50%
Stable,Operational Deposit,FIs,Less than 6 months,Yes,Operational DepositFIsLess than 6 monthsYes,50%
Stable,Operational Deposit,FIs,6 months to 1 year,Yes,Operational DepositFIs6 months to 1 yearYes,50%
Stable,Operational Deposit,FIs,More than 1 year,Yes,Operational DepositFIsMore than 1 yearYes,50%
