Instrument Id,Instrument Type,Currency,Face Value,Book Value,Market Value,Instrument Purchase Date,Instrument Issue Date,Instrument Maturity Date,Next Interest Payment Amount,Issuer Counterparty Type,Risk Weight As Per C41,Rating Agency,Credit Rating,Pledged to other institute,Encumbered End Date,Pledged amount used for liquidity,Accrued Interest,Provision,Next Coupon Date
B0561,Trái phiếu,VND,"3,000,000,000","2,990,345,541","3,105,510,000",5/30/2019,5/30/2019,5/30/2034,,Kho Bạc Nhà nước,0%,,,NA,,," 50,958,904 ", -   ,"Tuesday, May 30, 2023"
B0583,Trái phiếu,VND,"6,000,000,000","6,271,771,741","6,722,640,000",7/18/2019,1/17/2019,1/17/2039,,Kho Bạc Nhà nước,0%,,,NA,,," 236,580,822 ", -   ,"Tuesday, January 17, 2023"
B0594,Trái phiếu,VND,"22,000,000,000","22,184,970,397","21,809,920,000",8/22/2019,7/25/2019,7/25/2034,,Kho Bạc Nhà nước,0%,,,NA,,," 188,536,986 ", -   ,"Tuesday, July 25, 2023"
B0624,Trái phiếu,VND,"200,000,000,000","263,947,173,797","224,088,000,000",2/21/2020,1/17/2019,1/17/2039,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/17/2039,"200,000,000,000"," 7,886,027,397 ", -   ,"Tuesday, January 17, 2023"
B0626,Trái phiếu,VND,"100,000,000,000","130,303,670,399","103,204,000,000",2/21/2020,9/26/2019,9/26/2049,,Kho Bạc Nhà nước,0%,,,Ngân hàng,9/26/2049,"100,000,000,000"," 71,232,877 ", -   ,"Tuesday, September 26, 2023"
B0627,Trái phiếu,VND,"50,000,000,000","69,898,190,363","57,903,500,000",2/21/2020,1/24/2019,1/24/2049,,Kho Bạc Nhà nước,0%,,,NA,,," 1,986,301,370 "," 3,013,908,856 ","Tuesday, January 24, 2023"
B0640,Trái phiếu,VND,"50,000,000,000","70,447,120,624","62,500,000,000",5/27/2020,5/11/2017,5/11/2037,,Kho Bạc Nhà nước,0%,,,Ngân hàng,5/11/2037,"50,000,000,000"," 1,371,232,877 ", -   ,"Thursday, May 11, 2023"
B0641,Trái phiếu,VND,"150,000,000,000","191,460,505,656","168,066,000,000",5/27/2020,1/17/2019,1/17/2039,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/17/2039,"150,000,000,000"," 5,914,520,548 ", -   ,"Tuesday, January 17, 2023"
B0643,Trái phiếu,VND,"50,000,000,000","63,823,584,390","56,022,000,000",6/2/2020,1/17/2019,1/17/2039,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/17/2039,"50,000,000,000"," 1,971,506,849 ", -   ,"Tuesday, January 17, 2023"
B0644,Trái phiếu,VND,"50,000,000,000","83,813,010,597","71,691,500,000",6/2/2020,4/7/2017,4/7/2047,,Kho Bạc Nhà nước,0%,,,NA,,," 1,891,232,877 ", -   ,"Friday, April 7, 2023"
B0645,Trái phiếu,VND,"50,000,000,000","68,904,417,571","57,903,500,000",6/2/2020,1/24/2019,1/24/2049,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/24/2049,"50,000,000,000"," 1,986,301,370 "," 1,991,807,543 ","Tuesday, January 24, 2023"
B0647,Trái phiếu,VND,"300,000,000,000","306,288,208,821","263,535,000,000",6/4/2020,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/9/2040,"300,000,000,000"," 7,841,095,890 ", -   ,"Monday, January 9, 2023"
B0648,Trái phiếu,VND,"50,000,000,000","64,193,166,524","51,602,000,000",6/11/2020,9/26/2019,9/26/2049,,Kho Bạc Nhà nước,0%,,,Ngân hàng,9/26/2049,"50,000,000,000"," 35,616,438 ", -   ,"Tuesday, September 26, 2023"
B0649,Trái phiếu,VND,"50,000,000,000","52,421,952,654","45,959,000,000",6/11/2020,12/19/2019,12/19/2034,,Kho Bạc Nhà nước,0%,,,Ngân hàng,12/19/2034,"50,000,000,000"," 1,410,410,959 ", -   ,"Monday, December 19, 2022"
B0650,Trái phiếu,VND,"100,000,000,000","137,826,826,784","115,807,000,000",6/15/2020,1/24/2019,1/24/2049,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/24/2049,"100,000,000,000"," 3,972,602,740 "," 4,002,119,599 ","Tuesday, January 24, 2023"
B0652,Trái phiếu,VND,"100,000,000,000","128,393,522,708","103,204,000,000",6/17/2020,9/26/2019,9/26/2049,,Kho Bạc Nhà nước,0%,,,Ngân hàng,9/26/2049,"100,000,000,000"," 71,232,877 ", -   ,"Tuesday, September 26, 2023"
B0653,Trái phiếu,VND,"100,000,000,000","128,395,613,725","103,204,000,000",6/19/2020,9/26/2019,9/26/2049,,Kho Bạc Nhà nước,0%,,,Ngân hàng,9/26/2049,"100,000,000,000"," 71,232,877 ", -   ,"Tuesday, September 26, 2023"
B0655,Trái phiếu,VND,"200,000,000,000","204,446,468,103","175,690,000,000",6/25/2020,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/9/2040,"200,000,000,000"," 5,227,397,260 ", -   ,"Monday, January 9, 2023"
B0656,Trái phiếu,VND,"279,700,000,000","286,983,660,306","245,702,465,000",7/2/2020,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,NHNN-SGD,1/9/2040,"200,000,000,000"," 7,310,515,068 ", -   ,"Monday, January 9, 2023"
B0658,Trái phiếu,VND,"50,000,000,000","63,842,007,712","56,022,000,000",7/8/2020,1/17/2019,1/17/2039,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/17/2039,"50,000,000,000"," 1,971,506,849 ", -   ,"Tuesday, January 17, 2023"
B0659,Trái phiếu,VND,"100,000,000,000","119,838,576,868","100,501,000,000",7/8/2020,9/12/2019,9/12/2039,,Kho Bạc Nhà nước,0%,,,Ngân hàng,9/12/2039,"100,000,000,000"," 255,068,493 ", -   ,"Tuesday, September 12, 2023"
B0660,Trái phiếu,VND,"152,000,000,000","156,736,183,828","133,524,400,000",7/9/2020,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,NA,,," 3,972,821,918 ", -   ,"Monday, January 9, 2023"
B0661,Trái phiếu,VND,"100,000,000,000","103,760,656,253","87,845,000,000",7/13/2020,1/9/2020,1/9/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,1/9/2040,"100,000,000,000"," 2,613,698,630 ", -   ,"Monday, January 9, 2023"
B0667,Trái phiếu,VND,"50,000,000,000","51,318,281,601","40,825,500,000",10/9/2020,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,NA,,," 189,863,014 ", -   ,"Sunday, August 20, 2023"
B0668,Trái phiếu,VND,"250,000,000,000","256,590,168,980","204,127,500,000",10/13/2020,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,8/20/2040,"250,000,000,000"," 949,315,068 ", -   ,"Sunday, August 20, 2023"
B0669,Trái phiếu,VND,"250,000,000,000","256,591,802,024","204,127,500,000",10/15/2020,8/20/2020,8/20/2040,,Kho Bạc Nhà nước,0%,,,Ngân hàng,8/20/2040,"250,000,000,000"," 949,315,068 ", -   ,"Sunday, August 20, 2023"
B0748,Trái phiếu,VND,"50,000,000,000","62,789,340,416","50,250,500,000",1/14/2021,9/12/2019,9/12/2039,,Kho Bạc Nhà nước,0%,,,NA,,," 127,534,247 ", -   ,"Tuesday, September 12, 2023"
B0752,Trái phiếu,VND,"100,000,000,000","125,887,995,019","100,501,000,000",1/20/2021,9/12/2019,9/12/2039,,Kho Bạc Nhà nước,0%,,,NA,,," 255,068,493 ", -   ,"Tuesday, September 12, 2023"
B0795,Trái phiếu,VND,"83,000,000,000","82,032,840,116","62,391,930,000",12/9/2021,11/25/2021,11/25/2041,,Kho Bạc Nhà nước,0%,,,NA,,," 1,903,315,068 "," 1,788,173,396 ","Friday, November 25, 2022"
B0797,Trái phiếu,VND,"17,000,000,000","16,801,823,618","12,779,070,000",12/17/2021,11/25/2021,11/25/2041,,Kho Bạc Nhà nước,0%,,,NA,,," 389,835,616 "," 366,165,722 ","Friday, November 25, 2022"
B0461,Trái phiếu,VND,"200,000,000,000","200,000,000,000","219,450,000,000",12/14/2017,12/14/2017,12/14/2027,,Ngân hàng,80%,Fitch Rating,BB-,NA,,," 10,723,150,685 ", -   ,"Wednesday, December 14, 2022"
B0514,Trái phiếu,VND,"100,000,000,000","100,000,000,000","108,392,000,000",6/29/2018,6/29/2018,6/29/2028,,Ngân hàng,80%,Fitch Rating,BB-,NA,,," 1,641,780,822 ", -   ,"Thursday, June 29, 2023"
B0683,Chứng chỉ tiền gửi,VND,"300,000,000,000","300,000,000,795","320,490,000,000",11/18/2020,11/17/2020,11/17/2022,,Cty tài chính,80%,Fitch Rating,BB-,NA,,," 20,125,479,452 ", -   ,"Thursday, November 17, 2022"
B0790,Chứng chỉ tiền gửi,VND,"500,000,000,000","500,000,000,000","510,495,000,000",10/26/2021,10/26/2021,4/26/2023,,Cty tài chính,100%,Fitch Rating,B,NA,,," 12,336,986,301 ", -   ,"Wednesday, October 26, 2022"
B0791,Chứng chỉ tiền gửi,VND,"100,000,000,000","100,000,000,000","105,406,000,000",10/27/2021,10/27/2021,10/21/2022,,Cty tài chính,150%,,,NA,,," 5,386,849,315 ", -   ,"Friday, October 21, 2022"
B0794,Chứng chỉ tiền gửi,VND,"200,000,000,000","200,006,679,742","209,674,000,000",11/24/2021,11/18/2021,11/18/2022,,Cty tài chính,80%,Fitch Rating,BB-,NA,,," 9,987,671,233 ", -   ,"Friday, November 18, 2022"
B0799,Trái phiếu,VND,"300,000,000,000","300,000,000,000","303,066,000,000",12/23/2021,12/23/2021,6/23/2023,,Cty tài chính,150%,,,NA,,," 4,767,123,288 ", -   ,"Friday, December 23, 2022"
B0817,Chứng chỉ tiền gửi,VND,"100,000,000,000","100,000,000,000","102,219,000,000",1/25/2022,1/25/2022,1/17/2023,,Ngân hàng,150%,,,NA,,," 2,865,205,479 ", -   ,"Tuesday, January 17, 2023"
B0819,Chứng chỉ tiền gửi,VND,"300,000,000,000","299,999,999,974","312,195,000,000",1/26/2022,1/25/2022,1/18/2023,,Cty tài chính,150%,,,NA,,," 12,484,109,589 ", -   ,"Wednesday, January 18, 2023"
