Loan Type,Counterparty Type,Collateral,Risk Weight,CONCAT,Outflow %
Secured Borrowing,Retail,L1,RW1,Secured BorrowingRetailL1RW1,0%
Secured Borrowing,Small Business Customer,L1,RW1,Secured BorrowingSmall Business CustomerL1RW1,0%
Secured Borrowing,Corp,L1,RW1,Secured BorrowingCorpL1RW1,0%
Secured Borrowing,Domestic Sovereign,L1,RW1,Secured BorrowingDomestic SovereignL1RW1,0%
Secured Borrowing,Central Bank,L1,RW1,Secured BorrowingCentral BankL1RW1,0%
Secured Borrowing,PSEs,L1,RW1,Secured BorrowingPSEsL1RW1,0%
Secured Borrowing,MDB,L1,RW1,Secured BorrowingMDBL1RW1,0%
Secured Borrowing,FIs,L1,RW1,Secured BorrowingFIsL1RW1,0%
Secured Borrowing,Others,L1,RW1,Secured BorrowingOthersL1RW1,0%
Secured Borrowing,Retail,L1,RW2,Secured BorrowingRetailL1RW2,0%
Secured Borrowing,Small Business Customer,L1,RW2,Secured BorrowingSmall Business CustomerL1RW2,0%
Secured Borrowing,Corp,L1,RW2,Secured BorrowingCorpL1RW2,0%
Secured Borrowing,Domestic Sovereign,L1,RW2,Secured BorrowingDomestic SovereignL1RW2,0%
Secured Borrowing,Central Bank,L1,RW2,Secured BorrowingCentral BankL1RW2,0%
Secured Borrowing,PSEs,L1,RW2,Secured BorrowingPSEsL1RW2,0%
Secured Borrowing,MDB,L1,RW2,Secured BorrowingMDBL1RW2,0%
Secured Borrowing,FIs,L1,RW2,Secured BorrowingFIsL1RW2,0%
Secured Borrowing,Others,L1,RW2,Secured BorrowingOthersL1RW2,0%
Secured Borrowing,Retail,L1,RW3,Secured BorrowingRetailL1RW3,0%
Secured Borrowing,Small Business Customer,L1,RW3,Secured BorrowingSmall Business CustomerL1RW3,0%
Secured Borrowing,Corp,L1,RW3,Secured BorrowingCorpL1RW3,0%
Secured Borrowing,Domestic Sovereign,L1,RW3,Secured BorrowingDomestic SovereignL1RW3,0%
Secured Borrowing,Central Bank,L1,RW3,Secured BorrowingCentral BankL1RW3,0%
Secured Borrowing,PSEs,L1,RW3,Secured BorrowingPSEsL1RW3,0%
Secured Borrowing,MDB,L1,RW3,Secured BorrowingMDBL1RW3,0%
Secured Borrowing,FIs,L1,RW3,Secured BorrowingFIsL1RW3,0%
Secured Borrowing,Others,L1,RW3,Secured BorrowingOthersL1RW3,0%
Secured Borrowing,Retail,L2A,RW1,Secured BorrowingRetailL2ARW1,15%
Secured Borrowing,Small Business Customer,L2A,RW1,Secured BorrowingSmall Business CustomerL2ARW1,15%
Secured Borrowing,Corp,L2A,RW1,Secured BorrowingCorpL2ARW1,15%
Secured Borrowing,Domestic Sovereign,L2A,RW1,Secured BorrowingDomestic SovereignL2ARW1,15%
Secured Borrowing,Central Bank,L2A,RW1,Secured BorrowingCentral BankL2ARW1,15%
Secured Borrowing,PSEs,L2A,RW1,Secured BorrowingPSEsL2ARW1,15%
Secured Borrowing,MDB,L2A,RW1,Secured BorrowingMDBL2ARW1,15%
Secured Borrowing,FIs,L2A,RW1,Secured BorrowingFIsL2ARW1,15%
Secured Borrowing,Others,L2A,RW1,Secured BorrowingOthersL2ARW1,15%
Secured Borrowing,Retail,L2A,RW2,Secured BorrowingRetailL2ARW2,15%
Secured Borrowing,Small Business Customer,L2A,RW2,Secured BorrowingSmall Business CustomerL2ARW2,15%
Secured Borrowing,Corp,L2A,RW2,Secured BorrowingCorpL2ARW2,15%
