Risk Weight,HQLA Asset
0%,RW1
1%,RW2
2%,RW2
3%,RW2
4%,RW2
5%,RW2
6%,RW2
7%,RW2
8%,RW2
9%,RW2
10%,RW2
11%,RW2
12%,RW2
13%,RW2
14%,RW2
15%,RW2
16%,RW2
17%,RW2
18%,RW2
19%,RW2
20%,RW2
21%,RW3
22%,RW3
23%,RW3
24%,RW3
25%,RW3
26%,RW3
27%,RW3
28%,RW3
29%,RW3
30%,RW3
31%,RW3
32%,RW3
33%,RW3
34%,RW3
35%,RW3
36%,RW3
37%,RW3
38%,RW3
39%,RW3
40%,RW3
41%,RW3
42%,RW3
43%,RW3
44%,RW3
45%,RW3
46%,RW3
47%,RW3
48%,RW3
49%,RW3
50%,RW3
51%,RW3
52%,RW3
53%,RW3
54%,RW3
55%,RW3
56%,RW3
57%,RW3
58%,RW3
59%,RW3
60%,RW3
61%,RW3
62%,RW3
63%,RW3
64%,RW3
65%,RW3
66%,RW3
67%,RW3
68%,RW3
69%,RW3
70%,RW3
71%,RW3
72%,RW3
73%,RW3
74%,RW3
75%,RW3
76%,RW3
77%,RW3
78%,RW3
79%,RW3
80%,RW3
81%,RW3
82%,RW3
83%,RW3
84%,RW3
85%,RW3
86%,RW3
87%,RW3
88%,RW3
89%,RW3
90%,RW3
91%,RW3
92%,RW3
93%,RW3
94%,RW3
95%,RW3
96%,RW3
97%,RW3
98%,RW3
99%,RW3
100%,RW3
101%,RW3
102%,RW3
103%,RW3
104%,RW3
105%,RW3
106%,RW3
107%,RW3
108%,RW3
109%,RW3
110%,RW3
111%,RW3
112%,RW3
113%,RW3
114%,RW3
115%,RW3
116%,RW3
117%,RW3
118%,RW3
119%,RW3
120%,RW3
121%,RW3
122%,RW3
123%,RW3
124%,RW3
125%,RW3
126%,RW3
127%,RW3
128%,RW3
129%,RW3
130%,RW3
131%,RW3
132%,RW3
133%,RW3
134%,RW3
135%,RW3
136%,RW3
137%,RW3
138%,RW3
139%,RW3
140%,RW3
141%,RW3
142%,RW3
143%,RW3
144%,RW3
145%,RW3
146%,RW3
147%,RW3
148%,RW3
149%,RW3
150%,RW3
151%,RW3
152%,RW3
153%,RW3
154%,RW3
155%,RW3
156%,RW3
157%,RW3
158%,RW3
159%,RW3
160%,RW3
161%,RW3
162%,RW3
163%,RW3
164%,RW3
165%,RW3
166%,RW3
167%,RW3
168%,RW3
169%,RW3
170%,RW3
171%,RW3
172%,RW3
173%,RW3
174%,RW3
175%,RW3
176%,RW3
177%,RW3
178%,RW3
179%,RW3
180%,RW3
181%,RW3
182%,RW3
183%,RW3
184%,RW3
185%,RW3
186%,RW3
187%,RW3
188%,RW3
189%,RW3
190%,RW3
191%,RW3
192%,RW3
193%,RW3
194%,RW3
195%,RW3
196%,RW3
197%,RW3
198%,RW3
199%,RW3
200%,RW3
201%,RW3
202%,RW3
203%,RW3
204%,RW3
205%,RW3
206%,RW3
207%,RW3
208%,RW3
209%,RW3
210%,RW3
211%,RW3
212%,RW3
213%,RW3
214%,RW3
215%,RW3
216%,RW3
217%,RW3
218%,RW3
219%,RW3
220%,RW3
221%,RW3
222%,RW3
223%,RW3
224%,RW3
225%,RW3
226%,RW3
227%,RW3
228%,RW3
229%,RW3
230%,RW3
231%,RW3
232%,RW3
233%,RW3
234%,RW3
235%,RW3
236%,RW3
237%,RW3
238%,RW3
239%,RW3
240%,RW3
241%,RW3
242%,RW3
243%,RW3
244%,RW3
245%,RW3
246%,RW3
247%,RW3
248%,RW3
249%,RW3
250%,RW3
251%,RW3
252%,RW3
253%,RW3
254%,RW3
255%,RW3
256%,RW3
257%,RW3
258%,RW3
259%,RW3
260%,RW3
261%,RW3
262%,RW3
263%,RW3
264%,RW3
265%,RW3
266%,RW3
267%,RW3
268%,RW3
269%,RW3
270%,RW3
271%,RW3
272%,RW3
273%,RW3
274%,RW3
275%,RW3
276%,RW3
277%,RW3
278%,RW3
279%,RW3
280%,RW3
281%,RW3
282%,RW3
283%,RW3
284%,RW3
285%,RW3
286%,RW3
287%,RW3
288%,RW3
289%,RW3
290%,RW3
291%,RW3
292%,RW3
293%,RW3
294%,RW3
295%,RW3
296%,RW3
297%,RW3
298%,RW3
299%,RW3
300%,RW3
301%,RW3
302%,RW3
303%,RW3
304%,RW3
305%,RW3
306%,RW3
307%,RW3
NA,NA
